id,title,objective,architect_refs,requirements,dependencies,target_components,db_impact,backend_impact,mercato_impact,scanner_impact,integration_impact,migration_impact,tests,acceptance_mapping,evidence,dod
FND-001,Establish target Outbound domain ownership and persistence boundaries,"Introduce the target CustomerOrder/Line, OutboundOrder/Line and shared identifiers as explicit WMS concepts without collapsing them into legacy SO/outbound_delivery or public Sales semantics.","P1 R7–P1 R8;P1 R59;P1 R69;P2 R5–P2 R6;P2 R43;P3 KROK 1, P4 KROK 1",FR-P1-04;FR-P1-33;FR-P1-43;FR-P2-03;FR-P2-25;INT-06,,Mercato WMS Outbound module;Sales/ordering adapter;domain entities/repositories,Additive target tables/relations and status persistence; no destructive legacy cutover in this task.,"Create owning module boundaries, repositories, transaction boundaries and adapter contracts.",Admin/read views only as needed to inspect target orders/lines; no extra product UX.,None directly.,Define inbound order/cancellation adapter boundary; do not invent external-system behavior beyond INT-06.,"Coexist with legacy wms_sales_order.so_header, wms_outbound.outbound_delivery and empty public Sales candidates; record explicit mapping/cutover markers.",Entity/repository integration tests;state persistence tests;adapter contract tests,TC-001;TC-002;TC-003;TC-020;TC-029;TC-036;TC-092;TC-106;TC-119;TC-121;TC-134,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence.,Target objects are independently addressable and traceable to source demand; legacy objects remain intact; no business state is silently shared by incompatible models.
FND-002,Build authoritative state/event transition and audit foundation,"Make architect-defined state transitions server-authoritative and observable, with transition guards, domain events and audit correlation reused across P1–P4.",P1 Funkcja ciągła F1;P1 R70;P2 R23–P2 R24;P3 R1–P3 R2;P4 R3–P4 R4;P1 R43–P1 R46,FR-P1-27;FR-P1-44;FR-P2-12;FR-P3-01;FR-P4-02;CON-05,FND-001,Mercato WMS Outbound domain services;wms_orchestration,Persist transition/audit facts and correlation/idempotency keys where needed.,Transition services reject illegal/non-regressive transitions and emit durable facts.,Expose only architect-required status/action visibility to Supervisor/admin surfaces.,Scanner consumes server state; it must not own business transition truth.,Reuse/extend orchestration outbox/retry patterns for durable effects.,No reinterpretation of existing Inbound state machines; additive event types only.,State-machine component tests;illegal transition tests;event/outbox integration tests;idempotency regression,TC-001;TC-009;TC-021;TC-027;TC-040;TC-041;TC-050;TC-051;TC-053;TC-128;TC-129,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,All target state changes in later tasks can route through one guarded observable mechanism; illegal transitions fail safely and accepted shared behavior remains unchanged.
FND-003,"Protect shared Inventory, TU, task-lock and warehouse compatibility","Prepare compatibility seams for Outbound to reuse Inventory, TU, active warehouse, task ownership/locks and orchestration without breaking accepted Inbound behavior.","P1 R53;P1 R71;P2 R40;P1 R4–P1 R6, P1 R52;P1 R10;P2 R6, P2 R29–P2 R30",FR-P1-28;FR-P1-45;FR-P2-22;CON-01;CON-02;CON-03,FND-001;FND-002,wms_inventory;wms_tu;wms_warehouse;record locks;Scanner session/warehouse context,Prefer additive columns/relations/role tables over redefining existing Inbound process_status semantics.,Add compatibility services/guards and explicit ownership APIs.,Mercato diagnostics only where needed.,"Reuse auth, warehouse context, scan abstraction and lock heartbeat/release.",No new external integration.,Additive reversible migration; shared TU rows and existing Inbound data remain valid.,Shared-schema migration tests;Inventory/TU regression;record-lock concurrency tests;warehouse-context tests,TC-010;TC-101;TC-130;TC-131,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,Outbound can reference shared primitives without changing accepted Inbound semantics; regression suite proves compatibility.
P1-001,"CustomerOrder intake, validation, hold, warning and continuous aggregation","Implement demand header/line intake and the architect-defined CustomerOrder/Line aggregation, ON_HOLD, WARNING and cancellation-visible states.","P1 R41–P1 R42;P1 R49–P1 R50;P1 Funkcja ciągła F1;P1 R61;P1 Wyjątki — `CustomerOrder.ON_HOLD`;P1 Wyjątki — żądanie anulowania `CustomerOrder` lub `CustomerOrderLine`;P3 KROK 1, P4 KROK 1",FR-P1-21;FR-P1-25;FR-P1-27;FR-P1-35;FR-P5-08;FR-P5-09;INT-06,FND-001;FND-002,CustomerOrder;CustomerOrderLine;ordering adapter,"Persist target header/line status, priority, slaDeadline, allowPartialShipment and warning fields.","Validation, aggregate-state recalculation and cancellation eligibility services.",Supervisor/order visibility and permitted actions only.,No Picker flow yet.,Receive cancellation/correction correlation from ordering system.,Map legacy/public Sales input non-destructively.,Validation/aggregation unit tests;status transition tests;INT-06 contract tests;Mercato component tests;Playwright order/hold/cancel visibility,TC-001;TC-003;TC-008;TC-009;TC-064;TC-065;TC-108,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Header/line state is derived exactly as architect rules require; ON_HOLD/WARNING/cancel paths are observable and UI traversable.
P1-002,ATP soft reservation queue and recalculation,"Implement zero-ATP/backorder queue, soft ATPReservation lifecycle, priority/SLA recalculation and manual ATPReservation reduction/removal without status side effects.","P1 R1–P1 R2;P1 R3–P1 R4;P1 R5–P1 R6;P1 R11–P1 R12;P1 R51–P1 R52;P1 R4–P1 R6, P1 R52",FR-P1-01;FR-P1-02;FR-P1-03;FR-P1-06;FR-P1-26;CON-01,P1-001;FND-003,CustomerOrderLine ATP reservation;wms_inventory ATP service,Persist ATPReservation/queue metadata separately from hard Allocation.,Atomic ATP availability evaluation/recalculation and Supervisor adjustment API.,Supervisor inspection/manual adjustment where architect permits.,No direct Scanner action.,None external.,Reuse Inventory ATP reads; do not convert current wms_inventory_reservations directly into soft reservation semantics.,ATP math tests;priority queue tests;parallel reservation tests;manual adjustment integration;Playwright zero ATP/replan path,TC-001;TC-002;TC-003;TC-135,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",No double ATP promise under concurrency; BACKORDERED/replanning behavior is visible and matches source.
P1-003,"Cyclic planning, grouping and OutboundOrder/Line creation","Create STANDARD OutboundOrders/Lines from uncovered demand with architect grouping, split, allowPartialShipment and requiredQty rules.",P1 R7–P1 R8;P1 R9–P1 R10;P1 R57;P1 R59;P1 R60;P1 R69;P1 Wyjątki — P5 E17,FR-P1-04;FR-P1-05;FR-P1-31;FR-P1-33;FR-P1-34;FR-P1-43;FR-P5-17,P1-001;P1-002,planning service;OutboundOrder;OutboundOrderLine,"Persist channel, requiredQty, source line quantity links and grouping keys.",Cyclic planner enforces customer/address/priority/SLA/allowPartial rules and avoids double coverage with CROSSDOCK.,Planning/status observability for Supervisor.,No direct Scanner UI.,None external.,Do not reuse legacy outbound_delivery grouping/status as target truth.,Grouping/split tests;allowPartial false coverage tests;requiredQty lifecycle tests;idempotent planning integration;Playwright planning observability,TC-001;TC-002;TC-003;TC-104;TC-106;TC-107;TC-121;TC-125;TC-127,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Repeated planner execution is safe; every created OOL traces to uncovered CustomerOrderLine quantity and obeys grouping constraints.
P1-004,Allocation hard reservation lifecycle,Implement target Allocation states and atomic blocked quantity transfer from ATPReservation to hard reservation.,"P1 R9–P1 R10;P1 R11–P1 R12;P1 R71;P1 R4–P1 R6, P1 R52;P1 R10",FR-P1-05;FR-P1-06;FR-P1-45;CON-01;CON-02,P1-003;FND-003,Allocation;wms_inventory reservations/ledger,"Add target Allocation state, OOL ownership, reservedQty and transaction constraints; reuse Inventory balance/ledger safely.",Reserve/release/confirm/consume services with row locking and PickTask immutability guard.,Allocation visibility for operations/Supervisor.,Scanner sees resulting task availability only.,None external.,Existing inventory reservation rows remain compatible; migration is additive.,Allocation state tests;parallel reserve tests;ledger exactly-once tests;PickTask immutability tests,TC-001;TC-002;TC-003;TC-130;TC-131,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,reservedQty equals actual blocked stock; duplicate/parallel operations cannot over-reserve or regress state.
P1-005,"PickTask creation, zone ordering and operator assignment",Generate zone-scoped PickTasks and implement module+zone initiated assignment with single-active-warehouse-task protection.,"P1 R13–P1 R14;P1 R54, P1 R56;P1 R55;P1 R10",FR-P1-07;FR-P1-29;FR-P1-30;CON-02,P1-004;FND-003,PickTask backend;warehouse zone permissions;Scanner task assignment,"Persist task zone, order, operator, status and assignment timestamps.",Task generation/ordering and atomic assignment service.,Supervisor task visibility if existing operational patterns support it.,Picker selects picking module and one zone; receives next eligible task; no invented pool selector.,None external.,Reuse lock/task ownership primitives without borrowing Putaway business rules.,Task generation tests;parallel assignment tests;zone permission tests;Scanner component tests;Playwright select zone/receive task,TC-001;TC-004;TC-096;TC-097;TC-098,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",Two operators cannot receive same task; operator with active warehouse task is blocked; next task respects configured order.
P1-006,RF picking and multi-zone Picking TU continuation,"Implement normal Scanner picking into a TU, formal pickedQty confirmation, continuation across consecutive zones and task completion without auto-closing TU.",P1 R15–P1 R16;P1 R55;P1 R62;P1 R67,FR-P1-08;FR-P1-30;FR-P1-36;FR-P1-41,P1-005;P1-008,Scanner picking journey;PickTask service;TU contents,Persist scans/confirmed quantities/TU-task-line links and idempotency correlation.,Validate source/task/SKU/quantity/TU ownership and formal pick confirmation.,Operational read-only visibility.,"Normal scan/click journey for task, source, SKU/qty, TU and next-zone continuation.",None external.,Supersede current receiving-style Outbound scanner path; reuse shared UI/auth/scan/locks.,Pick confirmation integration;duplicate scan/idempotency tests;multi-zone continuation tests;Playwright full RF pick,TC-001;TC-004;TC-098;TC-109;TC-118,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.","Formal pickedQty is authoritative, task completion does not close TU, and user can continue the same eligible TU across zones."
P1-007,SHORT_ALLOCATED / SHORT_PICKED recovery and Supervisor outcomes,"Implement shortages, automatic reallocation limits, wait/cancel decisions and persistent partial-shipment policy changes.","P1 R41–P1 R42;P1 R43–P1 R44;P1 R45–P1 R46;P1 R47–P1 R48;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = false`;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = true`;P1 Wyjątki — `SHORT_PICKED`;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „czekamy”;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „anulowanie”;P1 Wyjątki — trwała zmiana `allowPartialShipment`",FR-P1-21;FR-P1-22;FR-P1-23;FR-P1-24;FR-P5-01;FR-P5-02;FR-P5-03;FR-P5-04;FR-P5-05;FR-P5-06,P1-004;P1-005;P1-006,Allocation;PickTask;CustomerOrder policy;Supervisor UI,Persist shortage/reallocation counters and decision outcomes.,Create replacement Allocation/PickTask only when allowed; terminate old SHORT_PICKED task.,Supervisor wait/cancel/allow-partial decisions and visible shortage context.,Picker records short pick and returns to valid next action.,None external.,No legacy shortcut status propagation.,short allocation tests;reallocation limit tests;decision tests;Playwright short pick auto-retry + Supervisor paths,TC-001;TC-008;TC-060;TC-061;TC-062;TC-121,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Automatic retries stop exactly at configured limit; wait/cancel/partial paths produce architect-defined states and next UI action.
P1-008,"Outbound TU identity, TUSetup, numbering, capacity and issueability","Extend shared TU with Outbound role/lifecycle support and implement TUSetup, TU_NUMBER/SSCC rules, weight/volume computation and issue thresholds.",P1 R53;P1 R63;P1 R64;P1 R65;P1 R66;P1 R68,FR-P1-28;FR-P1-37;FR-P1-38;FR-P1-39;FR-P1-40;FR-P1-42,FND-003,wms_tu;TUSetup;Sequence,"Add compatible Outbound TU role/status relation, TUSetup config and atomic number sequence; do not redefine Inbound process_status.","Number generation, capacity calculation and issuability/override guards.",TUSetup/admin configuration where existing configuration surface requires it.,Display/select allowed TU types and override only architect-permitted thresholds.,None external.,Additive shared-TU migration with rollback path and Inbound regression.,unique numbering concurrency;TU calculation tests;issuability/override tests;shared TU regression;Playwright TU selection/threshold behavior,TC-010;TC-110;TC-111;TC-114;TC-115;TC-116;TC-117;TC-120,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",TU numbers are unique; external type semantics and absolute/non-absolute issue blocks match architect source; Inbound TU behavior remains accepted.
