architect_rule_or_exception,requirement_id,component_acceptance_present,scenario_ids
P1 R1,FR-P1-01,✅,TC-001
P1 R2,FR-P1-01,✅,TC-001
P1 R3,FR-P1-02,✅,TC-001
P1 R4,FR-P1-02,✅,TC-001
P1 R5,FR-P1-03,✅,"TC-001, TC-002"
P1 R6,FR-P1-03,✅,"TC-001, TC-002, TC-135"
P1 R7,FR-P1-04,✅,"TC-001, TC-002, TC-003"
P1 R8,FR-P1-04,✅,"TC-001, TC-002, TC-003"
P1 R9,FR-P1-05,✅,"TC-001, TC-003"
P1 R10,FR-P1-05,✅,"TC-001, TC-003"
P1 R11,FR-P1-06,✅,"TC-001, TC-002"
P1 R12,FR-P1-06,✅,"TC-001, TC-002"
P1 R13,FR-P1-07,✅,"TC-001, TC-004"
P1 R14,FR-P1-07,✅,"TC-001, TC-004"
P1 R15,FR-P1-08,✅,"TC-001, TC-004"
P1 R16,FR-P1-08,✅,"TC-001, TC-004"
P1 R17,FR-P1-09,✅,"TC-001, TC-004, TC-005"
P1 R18,FR-P1-09,✅,"TC-001, TC-004, TC-005"
P1 R19,FR-P1-10,✅,"TC-001, TC-005, TC-006"
P1 R20,FR-P1-10,✅,"TC-001, TC-005, TC-006"
P1 R21,FR-P1-11,✅,"TC-001, TC-005, TC-006"
P1 R22,FR-P1-11,✅,"TC-001, TC-005, TC-006"
P1 R23,FR-P1-12,✅,"TC-001, TC-006"
P1 R24,FR-P1-12,✅,"TC-001, TC-006"
P1 R25,FR-P1-13,✅,"TC-001, TC-006"
P1 R26,FR-P1-13,✅,"TC-001, TC-006"
P1 R27,FR-P1-14,✅,"TC-001, TC-007"
P1 R28,FR-P1-14,✅,"TC-001, TC-007"
P1 R29,FR-P1-15,✅,"TC-001, TC-007, TC-128"
P1 R30,FR-P1-15,✅,"TC-001, TC-007"
P1 R31,FR-P1-16,✅,"TC-001, TC-007"
P1 R32,FR-P1-16,✅,"TC-001, TC-007"
P1 R33,FR-P1-17,✅,"TC-001, TC-007"
P1 R34,FR-P1-17,✅,"TC-001, TC-007"
P1 R35,FR-P1-18,✅,"TC-001, TC-007"
P1 R36,FR-P1-18,✅,"TC-001, TC-007"
P1 R37,FR-P1-19,✅,"TC-001, TC-008"
P1 R38,FR-P1-19,✅,"TC-001, TC-008"
P1 R39,FR-P1-20,✅,"TC-001, TC-008"
P1 R40,FR-P1-20,✅,"TC-001, TC-008"
P1 R41,FR-P1-21,✅,"TC-001, TC-008"
P1 R42,FR-P1-21,✅,"TC-001, TC-008"
P1 R43,FR-P1-22,✅,"TC-001, TC-008"
P1 R44,FR-P1-22,✅,"TC-001, TC-008"
P1 R45,FR-P1-23,✅,"TC-001, TC-008"
P1 R46,FR-P1-23,✅,"TC-001, TC-008, TC-121"
P1 R47,FR-P1-24,✅,"TC-001, TC-008"
P1 R48,FR-P1-24,✅,"TC-001, TC-008"
P1 R49,FR-P1-25,✅,"TC-001, TC-003, TC-009"
P1 R50,FR-P1-25,✅,"TC-001, TC-003, TC-009"
P1 R51,FR-P1-26,✅,"TC-001, TC-003"
P1 R52,FR-P1-26,✅,"TC-001, TC-003"
P1 F1,FR-P1-27,✅,"TC-001, TC-009"
P1 R53,FR-P1-28,✅,TC-010
P1 R54,FR-P1-29,✅,"TC-096, TC-097"
P1 R55,FR-P1-30,✅,TC-098
P1 R56,FR-P1-29,✅,TC-097
P1 R57,FR-P1-31,✅,"TC-104, TC-125"
P1 R58,FR-P1-32,✅,"TC-105, TC-122, TC-123, TC-124, TC-125, TC-126"
P1 R59,FR-P1-33,✅,TC-106
P1 R60,FR-P1-34,✅,TC-107
P1 R61,FR-P1-35,✅,TC-108
P1 R62,FR-P1-36,✅,TC-109
P1 R63,FR-P1-37,✅,"TC-110, TC-111"
P1 R64,FR-P1-38,✅,"TC-114, TC-120"
P1 R65,FR-P1-39,✅,"TC-115, TC-117, TC-120"
P1 R66,FR-P1-40,✅,TC-116
P1 R67,FR-P1-41,✅,TC-118
P1 R68,FR-P1-42,✅,TC-120
P1 R69,FR-P1-43,✅,TC-121
P1 R70,FR-P1-44,✅,"TC-128, TC-129"
P1 R71,FR-P1-45,✅,"TC-130, TC-131"
P1 R72,FR-P1-46,✅,"TC-132, TC-133"
P2 R1,FR-P2-01,✅,TC-020
P2 R2,FR-P2-01,✅,TC-020
P2 R3,FR-P2-02,✅,"TC-021, TC-030"
P2 R4,FR-P2-02,✅,"TC-020, TC-021"
P2 R5,FR-P2-03,✅,TC-020
P2 R6,FR-P2-03,✅,"TC-029, TC-036, TC-092, TC-134"
