requirement_id,title,architect_source_ref,implementation_tasks,acceptance_tasks,scenario_ids
FR-P1-01,Zerowe ATP i kolejka rezerwacji,P1 R1–P1 R2,P1-002,ACC-001;ACC-002;ACC-004,TC-001
FR-P1-02,Przeliczanie kolejki ATP,P1 R3–P1 R4,P1-002,ACC-001;ACC-002;ACC-004,TC-001
FR-P1-03,Pomijanie ON_HOLD i pełna rezerwacja,P1 R5–P1 R6,P1-002,ACC-001;ACC-002;ACC-004,TC-001;TC-002;TC-135
FR-P1-04,Grupowanie zamówień,P1 R7–P1 R8,FND-001;P1-003,ACC-001;ACC-002;ACC-004,TC-001;TC-002;TC-003
FR-P1-05,Atrybuty OutboundOrder i brak realokacji,P1 R9–P1 R10,P1-003;P1-004,ACC-001;ACC-002;ACC-004,TC-001;TC-003
FR-P1-06,Transfer ATPReservation i ręczna korekta,P1 R11–P1 R12,P1-002;P1-004,ACC-001;ACC-002;ACC-004,TC-001;TC-002
FR-P1-07,PickTask per strefa i kolejność,P1 R13–P1 R14,P1-005,ACC-001;ACC-002;ACC-004,TC-001;TC-004
FR-P1-08,Limit TU i deklaracja direct pack,P1 R15–P1 R16,P1-006;P1-009,ACC-001;ACC-002;ACC-004,TC-001;TC-004
FR-P1-09,Automatyczne direct pack i odstępstwo,P1 R17–P1 R18,P1-009,ACC-001;ACC-002;ACC-004,TC-001;TC-004;TC-005
FR-P1-10,Kwalifikacja i zgodność pakowania,P1 R19–P1 R20,P1-010,ACC-001;ACC-002;ACC-004,TC-001;TC-005;TC-006
FR-P1-11,Repack by SKU i potwierdzenie braku,P1 R21–P1 R22,P1-010,ACC-001;ACC-002;ACC-004,TC-001;TC-005;TC-006
FR-P1-12,DAMAGED i SKU nieoczekiwane,P1 R23–P1 R24,P1-010,ACC-001;ACC-002;ACC-004,TC-001;TC-006
FR-P1-13,Domknięcie przepakowania i grupowanie Shipment,P1 R25–P1 R26,P1-010;P1-011,ACC-001;ACC-002;ACC-004,TC-001;TC-006
FR-P1-14,Agregacja PACKED i READY_FOR_DISPATCH,P1 R27–P1 R28,P1-011,ACC-001;ACC-002;ACC-004,TC-001;TC-007
FR-P1-15,Spóźnione TU i start Carrier Selection,P1 R29–P1 R30,P1-011,ACC-001;ACC-002;ACC-004,TC-001;TC-007;TC-128
FR-P1-16,CarrierSetup i tie-break,P1 R31–P1 R32,P1-012,ACC-001;ACC-002;ACC-004,TC-001;TC-007
FR-P1-17,Ręczna zmiana carriera i etykieta WMS,P1 R33–P1 R34,P1-012;P1-013,ACC-001;ACC-002;ACC-004,TC-001;TC-007
FR-P1-18,Problem załadunku i bramka ERP,P1 R35–P1 R36,P1-013;P1-014,ACC-001;ACC-002;ACC-004,TC-001;TC-007
FR-P1-19,Retry ERP i granica anulowania,P1 R37–P1 R38,P1-014;P1-016,ACC-001;ACC-002;ACC-004,TC-001;TC-008
FR-P1-20,Jeden manifest i nieodwracalne CLOSED,P1 R39–P1 R40,P1-015,ACC-001;ACC-002;ACC-004,TC-001;TC-008
FR-P1-21,Zamknięcie CustomerOrder i SHORT_ALLOCATED false,P1 R41–P1 R42,P1-001;P1-007;P1-016,ACC-001;ACC-002;ACC-004,TC-001;TC-008
FR-P1-22,Automatyczna obsługa niedoborów,P1 R43–P1 R44,P1-007,ACC-001;ACC-002;ACC-004,TC-001;TC-008
FR-P1-23,Czekamy albo anulowanie po SHORT_PICKED,P1 R45–P1 R46,P1-007,ACC-001;ACC-002;ACC-004,TC-001;TC-008;TC-121
